Designator,Mid X,Mid Y,Rotation,Layer
C1,189.01,-66.075,90.0,top
C10,192.52,-53.5,0.0,top
C11,186.02,-54.5,180.0,top
C12,186.15,-80.78,270.0,top
C13,188.4374,-83.155001,90.0,top
C2,199.5,-78.0,180.0,top
C4,200.27,-53.75,0.0,top
C5,202.975,-53.75,0.0,top
C6,190.65,-80.53,90.0,top
C7,247.52,-50.0,180.0,top
C8,174.27,-94.0,180.0,top
C9,197.15,-80.28,270.0,top
D1,245.9,-34.75,0.0,top
D2,182.0,-53.5,180.0,top
D3,175.0,-35.0,0.0,top
J1,182.0,-121.11,0.0,top
J2,199.53,-41.125,180.0,top
J3,183.68,-34.94,180.0,top
J4,177.0,-58.05,180.0,top
J5,256.0,-35.0,90.0,top
L1,261.5,-47.265,270.0,top
Q1,186.25,-60.0,90.0,top
Q2,186.745,-112.25,180.0,top
R1,189.5,-67.575,180.0,top
R10,178.51,-42.0,0.0,top
R11,204.5,-51.0,270.0,top
R12,196.75,-51.01,270.0,top
R13,206.0,-51.5,0.0,top
R14,173.5,-37.76,90.0,top
R2,183.0,-66.575,180.0,top
R3,185.0,-41.26,90.0,top
R4,181.9,-41.26,90.0,top
R5,247.64,-37.0,180.0,top
R6,189.5,-112.26,270.0,top
R7,199.5,-76.5,0.0,top
R8,199.5,-79.5,180.0,top
R9,199.5,-81.0,180.0,top
SW1,217.0,-36.75,0.0,top
SW10,254.0,-103.0,0.0,top
SW2,226.75,-36.75,0.0,top
SW3,217.0,-49.75,0.0,top
SW4,217.0,-57.0,0.0,top
SW5,250.25,-69.0,0.0,top
SW6,234.75,-59.5,0.0,top
SW7,238.5,-88.5,0.0,top
SW8,223.0,-103.0,0.0,top
SW9,238.5,-117.5,0.0,top
U1,211.104394,-83.79,0.0,top
U10,192.4,-80.86,180.0,top
U11,188.15,-80.675,90.0,top
U2,254.5,-46.75,0.0,top
U3,182.75,-46.0,225.0,top
U4,175.3875,-43.05,180.0,top
U5,189.3625,-54.45,180.0,top
U6,186.1375,-66.5,180.0,top
U8,174.4875,-95.75,180.0,top
U9,195.3,-80.35,0.0,top
